objectid,title,creator,subject,signature,date,description,condition,scope and contents,provenance,source,identifier,relation,type,media,format,frame,size,rights,rightsstatement,fileid,object_location,image_small,image_thumb
jmz.21,Abstract apartment patterns,"Kirze, Yehiel",,"Y Kirze (printed, lower right)",,"An abstract painting of irregular squares and black lines that give the appearance of windows. The painting uses the colors blue, pink, red, white and gold or cream, as well as black lines and circles.",scratch on white area just left of center; museum mounting,"The Zarrow Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork was collected from museums, exhibitions, and art galleries across the nation by Maxine and Jack Zarrow of Tulsa, Oklahoma.","Purchased by Mr. and Mrs. Joseph Forman, Maxine Zarrow's parents, from the artist at the artist's studio in Hifa, Israel. They were visiting Mr. Forman's niece, Sara, and her husband, Jacob Solomon, who took the Formans to visit the artist and see his work. Maxine Zarrow inherited the painting from her parents. For information on Yehiel Kirze: ""Art In Israel"" by Ron Shechori, Schocken Books, New York, 1976, pages 23 and 38.","Zarrow Collection, Oklahoma State University Archives",jmz.21,,Image,Egg tempera,image/png,Wood (plant material),image: 18 3/4 x 26 5/8 in.; framed: 27 x 34 1/2 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",https://rightsstatements.org/vocab/InC/1.0/,jmz.21.png,/objects/jmz.21.png,/objects/small/jmz.21_sm.jpg,/objects/thumbs/jmz.21_th.jpg
jmz.210,"Eagle Chief, Chief of the Pawnees","Echohawk, Brummett",Pawnee (culture or style),"Echohawk with hawk outline '96 (printed, lower left)",1996,"A portrait of a Pawnee man facing the viewer from the waist up. He is wearing a pillbox-shaped hat with a beak-like extension in the front that is pointing right. He is also wearing silver earrings that consist of a ring with three dangles, a bear claw and beads collar with decorated trailers and brass armbands. He is holding a brass-headed tomahawk in front of him with his right hand on the shaft and his left hand and forearm supporting the head. A peace medal is hanging on his chest below the bear claw collar.",undamaged; museum mounting,"The Zarrow Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork was collected from museums, exhibitions, and art galleries across the nation by Maxine and Jack Zarrow of Tulsa, Oklahoma.","Purchased by Jack and Maxine Zarrow from Brummett Echohawk, Tulsa, OK, June 19, 1996. This painting was one of nine purchased from Echohawk at the time. On the dust cover: ""Brummett Echohawk, 19 June 1996 'Eagle Chief, Grand Chief of the Pawnees'; tempera, 5"" X 7"".""","Zarrow Collection, Oklahoma State University Archives",jmz.210,,Image,Tempera,image/png,Wood (plant material); Gold (color); Carving (processes),image: 5 x 7 in.; framed: 18 3/4 x 15 3/4 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",https://rightsstatements.org/vocab/InC/1.0/,jmz.210.png,/objects/jmz.210.png,/objects/small/jmz.210_sm.jpg,/objects/thumbs/jmz.210_th.jpg
jmz.211,"Man Chief, Grand Chief of the Pawnees","Echohawk, Brummett",Pawnee (culture or style),"Echohawk with hawk outline '96 (printed, lower left)",1996,"A painting of a Pawnee man standing and facing right. He is wearing a feathered headdress with a long feathered trailer hanging down his back. His clothing consists of a red shirt, beaded buckskin pants and high-topped, bead-decorated, boot-style moccasins. His right arm is hanging down at his side.",undamaged; museum mounting,"The Zarrow Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork was collected from museums, exhibitions, and art galleries across the nation by Maxine and Jack Zarrow of Tulsa, Oklahoma.","Purchased by Jack and Maxine Zarrow from Brummett Echohawk, Tulsa, OK, June 19, 1996. This painting was one of nine by Echohawk purchased at the time. On the dust cover: ""Brummett Echohawk; tempera painting 'Man Chief,' Peta Lesharo - Pawnee Band Pechawrat (1 of four bands) Last Grand Chief of the Pawnee Indians, Lived in 1860s and 1870s.""","Zarrow Collection, Oklahoma State University Archives",jmz.211,,Image,Tempera,image/png,Wood (plant material); Gold (color); Antiquing,image: 4 x 8 in.; framed: 17 3/4 x 13 1/8 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",https://rightsstatements.org/vocab/InC/1.0/,jmz.211.png,/objects/jmz.211.png,/objects/small/jmz.211_sm.jpg,/objects/thumbs/jmz.211_th.jpg
jmz.212,Indian still life,"Buster, Garnet ",,"Garnet Buster '81 (printed, lower right)",1981,"A still life printing of a ceramic wedding vase and a bowl. The vase is on the right and is reddish while the bowl is on the left and is black. A multicolored string of glass beads is wrapped around the right neck of the wedding vase and is hanging across and off of the table. A silver squash-blossom necklace is draped inside the bowl and is hanging off of the table. Behind the pots, on either side, are ears of corn and two eagle feathers with their quills up.",undamaged,"The Zarrow Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork was collected from museums, exhibitions, and art galleries across the nation by Maxine and Jack Zarrow of Tulsa, Oklahoma.","Purchased by Jack and Maxine Zarrow from Garnet Buster at the Country Osage Art Exhibit and Sale, Pawhuska, OK, June 20, 1981. This work is one of four purchased at this exhibition. Taped to the dust cover: ""6/20/1981, Mr. and Mrs. Jack Zarrow; 'Indian Still Life' by Garnet Buster; 12 X 24; watercolor; ....""","Zarrow Collection, Oklahoma State University Archives",jmz.212,,Image,Watercolor (paint),image/png,Wood (plant material); Brown (color),image: 12 x 14 in.; framed: 21  x 33 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",https://rightsstatements.org/vocab/InC/1.0/,jmz.212.png,/objects/jmz.212.png,/objects/small/jmz.212_sm.jpg,/objects/thumbs/jmz.212_th.jpg
jmz.213,Stickball players,"Beaver, Fred",Creek (culture or style),"Fred Beaver '60 (printed, lower right)",1960,"A painting of two Native American men facing each other, each one holding two stickball sticks. They are wearing roach headdresses, fringed necklaces, and red-and-blue breechclouts. The man on the right has a decoration attached to his lower back that looks like a tail. They both have red paint around their eyes and three painted stripes wrapped around their forearms, thighs and calves.",undamaged; museum mounting; conservation glass,"The Zarrow Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork was collected from museums, exhibitions, and art galleries across the nation by Maxine and Jack Zarrow of Tulsa, Oklahoma.","Purchased by Jack and Maxine Zarrow from Fred Beaver at his home, Checotah, OK, May 6, 1980. This painting was one of several purchased at the time. On the dust cover: ""Fred Beaver died Aug. 19, 1980.""","Zarrow Collection, Oklahoma State University Archives",jmz.213,,Image,Watercolor (paint),image/png,Wood (plant material),image: 9 7/8 x 8 in.; framed: 19 x 16 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",https://rightsstatements.org/vocab/InC/1.0/,jmz.213.png,/objects/jmz.213.png,/objects/small/jmz.213_sm.jpg,/objects/thumbs/jmz.213_th.jpg
jmz.214,Woman's portrait,"Franklin, John",,"John Franklin (printed, lower right)",,"A drawing of a seated woman with her hair pulled back in a bun. She is holding one end of a striped shawl at her waist with her right hand, and she is holding the other end up near her left ear with her left hand. She is facing slightly to the right.",undamaged; acidic mats,"The Zarrow Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork was collected from museums, exhibitions, and art galleries across the nation by Maxine and Jack Zarrow of Tulsa, Oklahoma.","Purchased by Maxine Zarrow from John Franklin at his studio, Taos, NM, June 2, 1995.","Zarrow Collection, Oklahoma State University Archives",jmz.214,,Image,Charcoal (material),image/png,Wood (plant material); Brown (color),image: 13 x 10 1/4 in.; framed: 19 5/8 x 16 3/4 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",https://rightsstatements.org/vocab/InC/1.0/,jmz.214.png,/objects/jmz.214.png,/objects/small/jmz.214_sm.jpg,/objects/thumbs/jmz.214_th.jpg
jmz.215,Working hard,"Little Thunder, Merlin",Southern Cheyenne,"Merlin Little Thunder '84 (printed, lower right)",1984,"A painting of a man sitting on the ground with his back against a tree stump. He is wearing a cowboy hat with a feather in the hatband, a red neck scarf, a blue-and-red shirt, brown pants and cowboy boots. He is facing right. Behind him, an axe is also leaning against the stump. Sitting on the stump is half of a watermelon with a knife stuck in it.",undamaged,"The Zarrow Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork was collected from museums, exhibitions, and art galleries across the nation by Maxine and Jack Zarrow of Tulsa, Oklahoma.","Purchased by Jack and Maxine Zarrow at the Art Market, Tulsa, OK, some time after 1991.","Zarrow Collection, Oklahoma State University Archives",jmz.215,,Image,Watercolor (paint),image/png,Wood (plant material); Black (color); Inlays (decorations),image: 9 x 14 1/2 in.; framed: 18 1/8 x 23 1/2 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",https://rightsstatements.org/vocab/InC/1.0/,jmz.215.png,/objects/jmz.215.png,/objects/small/jmz.215_sm.jpg,/objects/thumbs/jmz.215_th.jpg
jmz.216,Untitled (Fancy war dancer),"Blue Eagle, Acee",Creek (culture or style); Pawnee (culture or style),"Blue Eagle - (printed, lower right)",,"A hand-painted print of a powwow fancy war dancer wearing a roach headdress with three feathers, a lower-back bustle and feathers on his upper arms. In addition, he wears a beaded collar, beaded gauntlets, beaded wrist and ankle bands, a breechclout and beaded moccasins. The upper half of his face is painted red and his hair is braided and wrapped with fur. He holds a fan in his right hand and a flute in his left hand.",undamaged,"The Zarrow Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork was collected from museums, exhibitions, and art galleries across the nation by Maxine and Jack Zarrow of Tulsa, Oklahoma.",,"Zarrow Collection, Oklahoma State University Archives",jmz.216,,Image,Screen printing; Hand-painted,image/png,Wood (plant material),image: 8 7/8 x 7 3/8 in.; framed: 15 3/4 x 14 1/4 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",https://rightsstatements.org/vocab/InC/1.0/,jmz.216.png,/objects/jmz.216.png,/objects/small/jmz.216_sm.jpg,/objects/thumbs/jmz.216_th.jpg
jmz.217,Untitled (Two women carrying water),"Atencio, Gilbert Benjamin",San Ildefonso,"Gilbert - Atencio '77 (printed, lower right)",1977,"A painting of two Pueblo women with large ceramic jars by a water source. The woman in the foreground is facing left and is approaching the water with a jar held in front of her. The woman in the background is facing right and is leaving the water source with her jar balanced on her head. Both women are dressed in a traditional hand-woven, one-shoulder dress, a small cape and dance boots.",undamaged; museum mounting,"The Zarrow Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork was collected from museums, exhibitions, and art galleries across the nation by Maxine and Jack Zarrow of Tulsa, Oklahoma.","Purchased by Jack and Maxine Zarrow at the Indian Paintbrush Gallery, Siloam Springs, AR, November 21, 1980.","Zarrow Collection, Oklahoma State University Archives",jmz.217,,Image,Gouache (paint),image/png,Wood (plant material),image: 12 1/4 x 11 1/8 in.; framed: 19 1/8 x 16 7/8 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",https://rightsstatements.org/vocab/InC/1.0/,jmz.217.png,/objects/jmz.217.png,/objects/small/jmz.217_sm.jpg,/objects/thumbs/jmz.217_th.jpg
jmz.218,Courting with flute ceremony,"Beaver, Fred",Creek (culture or style),"Fred Beaver '73 (printed, lower right)",1973,"A painting of a woman on the right sitting under a tree and stirring  a pot. She is on the far side of a campfire. Standing on the left, facing her, is a man playing a flute. He is wearing a red breechclout with a bead-decorated waistband and moccasins. Around his neck is a beaded choker which has a design matching his waistband and moccasins. In his hair, he is wearing a feather ornament. A river is running beside this scene and a setting sun or moon is in the background. The scenery is painted in blacks and grays.",undamaged; museum mounting; conservation glass,"The Zarrow Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork was collected from museums, exhibitions, and art galleries across the nation by Maxine and Jack Zarrow of Tulsa, Oklahoma.","Purchased by Jack and Maxine Zarrow from Fred Beaver at his home, Checotah, OK, March 6, 1980. This painting was one of several purchased at the time. This painting was exhibited at the Gilcrease Museum's McCombs/Beaver Memorial Exhibition, Tulsa, OK, March 7 - April 19, 1981. On the dust cover: ""Fred Beaver (1911 - 1980); 'Courting Flute Ceremony'; gouache; 1973; Collection: Maxine and Jack Zarrow.""","Zarrow Collection, Oklahoma State University Archives",jmz.218,,Image,Gouache (paint),image/png,Wood (plant material); Brown (color); Silver (color),image: 11 1/2 x 9 1/2 in.; framed: 21 3/4 x 17 7/8 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",https://rightsstatements.org/vocab/InC/1.0/,jmz.218.png,/objects/jmz.218.png,/objects/small/jmz.218_sm.jpg,/objects/thumbs/jmz.218_th.jpg
jmz.219,Deer and fawn,"Nailor, Gerald",Navajo (culture or style),"Gerald Nailor '41 (printed, lower right)",1941,"A painting of a deer facing left with her ears laid back. In the foreground, there is a fawn facing right. The fawn's head overlaps with the deer's left shoulder. Behind the two deer are stylized plants and bushes and there is a Navajo Yei symbol in the sky. The painting is done in tones of brown and tan.",undamaged; museum mounting; conservation glass,"The Zarrow Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork was collected from museums, exhibitions, and art galleries across the nation by Maxine and Jack Zarrow of Tulsa, Oklahoma.","Purchased by Jack and Maxine Zarrow from Robert F. Nichols of Santa Fe, NM, March 26, 1992. This painting was one of four purchased. The other paintings were by Pablita Velarde, Gene Kloss, and Geronima Montoya.","Zarrow Collection, Oklahoma State University Archives",jmz.219,,Image,Tempera,image/png,Wood (plant material),image: 11 5/8 x 9 5/8 in.; framed: 18 7/8 x 16 7/8 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",https://rightsstatements.org/vocab/InC/1.0/,jmz.219.png,/objects/jmz.219.png,/objects/small/jmz.219_sm.jpg,/objects/thumbs/jmz.219_th.jpg
jmz.22,Great mystery,"Anderson, Troy",Cherokee (culture or style),"By Troy Anderson 1978 (printed, lower center)",1978,A painting of a scaffold burial. The head of a Native American man wearing a war bonnet is in the sky above the scaffold.,undamaged; acidic mats; cardboard backing,"The Zarrow Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork was collected from museums, exhibitions, and art galleries across the nation by Maxine and Jack Zarrow of Tulsa, Oklahoma.","Purchased by Jack and Maxine Zarrow at the Art Market, Tulsa, OK, November 3, 1979. On the dust cover in the artist's handwriting: ""'Great Mystery' by Troy Anderson.""","Zarrow Collection, Oklahoma State University Archives",jmz.22,,Image,Watercolor (paint),image/png,Wood (plant material),image 12 1/4 x 5 in.; framed: 22 1/4 x 14 1/8 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",https://rightsstatements.org/vocab/InC/1.0/,jmz.22.png,/objects/jmz.22.png,/objects/small/jmz.22_sm.jpg,/objects/thumbs/jmz.22_th.jpg
jmz.220,Young shepherd and pet goats,"Begay, Harrison",Navajo (culture or style),Harrison Begay (lower right) Haskay Yahne Yah (lower left) (printed),,"A painting of a young Navajo boy dressed in a red shirt and light blue pants as he moves to the right. He is wearing a turquoise-and-silver pin at the neck of his shirt, a turquoise-and-silver belt buckle, and a turquoise-and-silver button on his Apache-style moccasins. In his right hand, he is holding a coil of rope and in his left, he is holding the other end of the rope made into a throwing loop. Two kid goats gambol in front of him and behind him. There is rainbow Yei symbol in the sky over their heads. ",undamaged; acidic mats; backing,"The Zarrow Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork was collected from museums, exhibitions, and art galleries across the nation by Maxine and Jack Zarrow of Tulsa, Oklahoma.","Purchased by Jack and Maxine Zarrow from the Indian Paintbrush Gallery, Siloam Springs, AR, November, 25, 1980.","Zarrow Collection, Oklahoma State University Archives",jmz.220,,Image,Tempera,image/png,Wood (plant material); Brown (color),image: 12 7/8 x 10 1/8 in.; framed: 21 1/8 x 17 7/8 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",https://rightsstatements.org/vocab/InC/1.0/,jmz.220.png,/objects/jmz.220.png,/objects/small/jmz.220_sm.jpg,/objects/thumbs/jmz.220_th.jpg
jmz.221,Untitled (Man with staff in snow storm),"Tiger, Jerome",Creek (culture or style); Seminole,"Tiger '66 (over feather) (printed, lower right)",1966,A painting of a man holding a staff in his left hand as he struggles through a snowstorm. He has a blanket around his shoulders which is billowing in the wind. The end of a red breechclout is blowing around his legs. He is facing left.,undamaged; museum mounting,"The Zarrow Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork was collected from museums, exhibitions, and art galleries across the nation by Maxine and Jack Zarrow of Tulsa, Oklahoma.","Purchased by Jack and Maxine Zarrow from Carol A. Bivins, Muskogee, OK, November 6, 1997. From a letter in artist's file: ""...My father, James F. Perkins, purchased this painting in Muskogee, Oklahoma in 1966 or 1967. The first memory I have was going to Art Show of Mr. Tiger's in downtown Muskogee. I think it was Spring of '66. I believe this painting was bought in the fall of '66 or sometime in 1967. Sincerely, Carol A. Bivins.""","Zarrow Collection, Oklahoma State University Archives",jmz.221,,Image,Tempera,image/png,Wood (plant material); Gold (color); Antiquing,image: 11 1/4 x 7 1/2 in.; framed: 18 7/8 x 14 5/8,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",https://rightsstatements.org/vocab/InC/1.0/,jmz.221.png,/objects/jmz.221.png,/objects/small/jmz.221_sm.jpg,/objects/thumbs/jmz.221_th.jpg
jmz.222,Angel's landing - Zion,"Haworth, Mark",,"Haworth (printed, lower left)",,A landscape drawing of a canyon with a large rock bluff above a stream. Additional rocky canyon walls and bluffs are in the background. There are clouds in the sky and patches of bright sunlight are showing where the sun has broken through the clouds.,undamaged; acidic mats,"The Zarrow Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork was collected from museums, exhibitions, and art galleries across the nation by Maxine and Jack Zarrow of Tulsa, Oklahoma.","Purchased by Jack and Maxine Zarrow at a wall sale at the Gilcrease Museum's annual American Art in Miniature exhibition, Tulsa, OK, November, 14, 1994.","Zarrow Collection, Oklahoma State University Archives",jmz.222,,Image,Pastel (material),image/png,Wood (plant material); Gold (color); Antiquing,image: 12 x 10 in.; framed: 20 7/8 x 18 7/8 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",https://rightsstatements.org/vocab/InC/1.0/,jmz.222.png,/objects/jmz.222.png,/objects/small/jmz.222_sm.jpg,/objects/thumbs/jmz.222_th.jpg
jmz.223,Two with a view,"Terpening, Sonya",,"Sonya Terpening 1989 (printed, lower right)",1989,A painting of two white wicker armchairs facing each other on a white-railed porch.,undamaged,"The Zarrow Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork was collected from museums, exhibitions, and art galleries across the nation by Maxine and Jack Zarrow of Tulsa, Oklahoma.","Purchased by Jack and Maxine Zarrow at a wall sale at the Gilcrease Museum's annual American Art in Miniature exhibition, Tulsa, OK, December 14, 1989. On a sticker on the dust cover: ""The Gilcrease Museum, Tulsa, OK B.89.766; 'Two With A View'; by Sonya Terpening; watercolor; Exhibited in 'American Art in Miniature: 1989'; November 16 - December 18, 1989; As of Nov. 1995 Sonya Terpening....""","Zarrow Collection, Oklahoma State University Archives",jmz.223,,Image,Watercolor (paint),image/png,Wood (plant material); Gold (color); Reeding,image 8 7/8 x 11 7/8 in.; framed: 16 1/4 x 19 1/4 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",https://rightsstatements.org/vocab/InC/1.0/,jmz.223.png,/objects/jmz.223.png,/objects/small/jmz.223_sm.jpg,/objects/thumbs/jmz.223_th.jpg
jmz.224,Pecan grove gossip,"Brown, Joan",Cherokee (culture or style),"Joan Brown '87 (printed, lower right)",1987,"A painting of 18 women gathering pecans into baskets. In the foreground two women are standing, facing each other, with baskets full of pecans in their arms as they speak to each other while the others work around them. The painting is done in brown and gold tones. The women are wearing scarves on their heads, long-sleeved full-length dresses and aprons.",undamaged; acidic mats,"The Zarrow Collection features a vast array of artwork primarily by Native American artists from several federally recognized tribal nations. This artwork was collected from museums, exhibitions, and art galleries across the nation by Maxine and Jack Zarrow of Tulsa, Oklahoma.","Purchased by Jack and Maxine Zarrow at the Art Market, Tulsa, OK, July 10, 1988.","Zarrow Collection, Oklahoma State University Archives",jmz.224,,Image,Watercolor (paint),image/png,Wood (plant material); Brown (color),image: 14 3/4 x 19 3/4 in.; framed 24 7/8 x 28 in.,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",https://rightsstatements.org/vocab/InC/1.0/,jmz.224.png,/objects/jmz.224.png,/objects/small/jmz.224_sm.jpg,/objects/thumbs/jmz.224_th.jpg
