objectid,title,creator,subject,date,description,provenance,source,identifier,type,MEDIA,format,rights,rightsstatement,fileid,extension,object_location,image_small,image_thumb
JMZ.105,Rock Towers,"Nestler, Al (Alfred)",,,A landscape painting of five towering red rock formations with a dark sky behind them.,"Purchased by Mr. and Mrs. Jack Zarrow at Al Nestler's Studio in Sedona, AZ.  This was one of the first paintings in their collection. On back of painting:  ""Rock Towers"" by Nestler, Sedona, AZ.","Zarrow Collection, Oklahoma State University Archives",JMZ.105,Image,oil,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMZ.105,png,/objects/JMZ.105.png,/objects/small/jmz.105_sm.jpg,/objects/thumbs/jmz.105_th.jpg
JMZ.106,Lava Creek View 1,"Wilcox, Jim",,1986,An impressionistic landscape of a golden hillside with mountains in the background.,"Purchased by Mr. and Mrs. Jack Zarrow at the Wilcox Gallery on a trip they made to Jackson, WY, September 22, 1987. On invoice:  Wilcox  ptg  #967; ""Lava Creek View #1; 9 X 12; oil; Grand Teton Area, Jackson Hole, WY On tag on wire:  #967 J Wilcox ""Lava Creek View #1; Grand Teton Area, Jackson Hole, Wyo; 9 X 12; oil $600 9/22/87","Zarrow Collection, Oklahoma State University Archives",JMZ.106,Image,oil,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMZ.106,png,/objects/JMZ.106.png,/objects/small/jmz.106_sm.jpg,/objects/thumbs/jmz.106_th.jpg
JMZ.107,Springtime (bluebonnets),"Curry, Charlotte L. ",,,A landscape painting of an irregularly branching green tree with a mass of Bluebonnets and other wildflowers in the foreground and green hills in the background.,"Purchased by Mr. and Mrs. Jack Zarrow at the Holland Art Gallery, Kerrville, TX, March 7, 1992. On back of painting:  ""Springtime""; all painting rights reserved by artist: Charlotte L. Curry 1991 C491.2","Zarrow Collection, Oklahoma State University Archives",JMZ.107,Image,oil on canvas,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMZ.107,png,/objects/JMZ.107.png,/objects/small/jmz.107_sm.jpg,/objects/thumbs/jmz.107_th.jpg
JMZ.108,Fall Scene - Victor Barn,"Wilcox, Jim",,,An impressionistic landscape of a high mountain valley with a barn in the foreground. The trees around the barn and on the hillside are yellow and gold.  There are hills and mountains in the background.,"Purchased by Mr. and Mrs. Jack Zarrow at the Gilcrease Museum's annual American Art In Miniature: 1989. The invoice is dated, December 19, 1989. On Gilcrease Label:  B.89.770; Fall Scene Victor Barn; By Jim Wilcox; oil on panel; exhibited in: American Art In Miniature: 1989; November 16 - December 18, 1989. On back of painting:  1209-1089","Zarrow Collection, Oklahoma State University Archives",JMZ.108,Image,oil on masonite,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMZ.108,png,/objects/JMZ.108.png,/objects/small/jmz.108_sm.jpg,/objects/thumbs/jmz.108_th.jpg
JMZ.109,Study for Almost Paradise,"Spaulding, Don",,,"A painting of two men riding horses and leading a packhorse, as they are about to cross a stream.  They are moving toward the viewer's left.  The man closest to the viewer's left is riding a paint horse and wearing an animal skin hat and fringed buckskin clothing.  Directly behind him is a man, riding an appaloosa (horse), who is wearing a black wide brimmed hat and buckskin clothing and looking back over his left shoulder.  The packhorse follows the second horse.  Both men carry rifles.  The trees in the background are all gold and yellow.","Purchased by Mr. and Mrs. Jack Zarrow at the Gilcrease Museum's annual American Art In Miniature exhibition in Tulsa, OK, November 14, 1989. On back of painting:  Property of Mr. and Mrs. Jack Zarrow, 2660 Birmingham Place, Tulsa, OK; Exhibited in ""American Art In Miniature: 1989""; November 16 - December 18, 1989; Gilcrease Museum - Tulsa, OK; Study for ""Almost Paradise""; by Don Spaulding oil","Zarrow Collection, Oklahoma State University Archives",JMZ.109,Image,oil,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMZ.109,png,/objects/JMZ.109.png,/objects/small/jmz.109_sm.jpg,/objects/thumbs/jmz.109_th.jpg
JMZ.11,Hasty Retreat  (on front of painting),"Joshua, Lee",Creek; Seminole,1979,"Painting of a man on a gray horse, hair flying as he rides at a run toward the viewer.  The man holds a bow and arrows and a shield in his left hand.  Painted on blue mat board.","Purchased by Jack and Maxine Zarrow from the artist, either at their home or from the artist's truck in the Five Civilized Tribes Museum, Muskogee, OK, ca. 1980.","Zarrow Collection, Oklahoma State University Archives",JMZ.11,Image,tempera,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMZ.11,png,/objects/JMZ.11.png,/objects/small/jmz.11_sm.jpg,/objects/thumbs/jmz.11_th.jpg
JMZ.110,The Vaquero,"Pummil, Robert",,,An impressionistic portrait of a man wearing a extremely wide brimmed high crowned cream colored hat.  The man faces the viewer and is wrapped in a wide striped blanket.,"Purchased by Mr. and Mrs. Jack Zarrow at the Cowboy Artist of America Museum Gift Shop, Kerrville, TX, March 7, 1992.","Zarrow Collection, Oklahoma State University Archives",JMZ.110,Image,oil,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMZ.110,png,/objects/JMZ.110.png,/objects/small/jmz.110_sm.jpg,/objects/thumbs/jmz.110_th.jpg
JMZ.111,untitled - fruit still-life,"Duecker, Otto",,,"A still life painting of various fruit sitting on a table.  Viewer's left to right: two halves of a peach, a lemon and a lemon slice, a plum with an apple behind it, a lime and a lime slice, an orange and an orange slice.  A knife lies on the table in front of the Apple and plum.  (Photo Realism)","Purchased by Mr. and Mrs. Jack Zarrow from Otto Duecker at his studio, Tulsa, OK, in November 1996.  This was just prior to his solo exhibition at the Holliman Gallery, Walter Arts Center, Tulsa, OK, which ran from November 3 to the 26th, 1996.","Zarrow Collection, Oklahoma State University Archives",JMZ.111,Image,oil on board,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMZ.111,png,/objects/JMZ.111.png,/objects/small/jmz.111_sm.jpg,/objects/thumbs/jmz.111_th.jpg
JMZ.112,Winter in Taos,"Daughters, Robert",,,"An impressionistic painting of a winter landscape.  The foreground is covered with snow with a road or trail, winding from the center bottom toward some trees that are depicted in shades of gold and orange.  Hills or mountains are suggested in the distance.","Purchased by Mr. and Mrs. Jack Zarrow from Linda McAdoo Galleries, Ltd., Santa Fe, NM, December 26, 1990.  This is one of two paintings the Zarrows purchased. The other painting was ""Quinces and White Creamer"" by David Lebow. On stretcher:  ""Winter In Taos"" R Daughters","Zarrow Collection, Oklahoma State University Archives",JMZ.112,Image,oil on canvas,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMZ.112,png,/objects/JMZ.112.png,/objects/small/jmz.112_sm.jpg,/objects/thumbs/jmz.112_th.jpg
JMZ.113,After the Gold Rush,"Love, Ralph",,1978,A painting of an old frame building that is in the slow process of collapsing with the weight of the years.  It appears to be located on a hillside in a high mountain valley.  To the viewer's left is a corner of another building.  Portions of two fences connect the two buildings.,"Purchased by Mr. and Mrs. Jack Zarrow at the artist's studio in Temecula, CA, ca. 1980.  This was one of three paintings by Ralph Love that the Zarrows purchased: at this time.  The other two were ""Grand Canyon"" and ""San Francisco.�  The total price for the three was $4,750.00. Ralph Love produced signed and numbered reproductions of this painting.  He gave Mr. and Mrs. Zarrow two copies, one of which is framed (4/450 JMZ.380) and one (3/450) is in drawer # 9 in the map cabinet in their storage room. On Stretcher:  ""After The Gold Rush"" #1614 '78 Ralph Love, Temecula, CA","Zarrow Collection, Oklahoma State University Archives",JMZ.113,Image,oil on canvas,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMZ.113,png,/objects/JMZ.113.png,/objects/small/jmz.113_sm.jpg,/objects/thumbs/jmz.113_th.jpg
JMZ.114,Lifting Fog at Laguna,"Ellison, Jody",,,An impressionistic painting of a seacoast with a city along the shore and on a hillside above it.  In the foreground is a rock breakwater that extends into the sea.  In the immediate foreground is a rocky shore.,"Purchased by Mr. and Mrs. Jack Zarrow at Miss Jackson's in Utica Square, Tulsa, OK, September 20, 1996. On stretcher:  Purchased: 9/20/96 at Miss Jackson show; Jody Ellison; ""Lifting Fog At Laguna"" 14"" X 18""","Zarrow Collection, Oklahoma State University Archives",JMZ.114,Image,oil on canvas,image/png,"The researcher assumes full responsibility for conforming with the laws of copyright. Whenever possible, the Oklahoma State University Archives will provide information about copyright owners and related information. Securing permission to publish or use material is the responsibility of the researcher. Note that unless specifically transferred to Oklahoma State University Libraries, any applicable copyrights may be held by another individual or entity. Copyright for material published by Oklahoma Agricultural and Mechanical College/Oklahoma State University is held by the Board of Regents for the Oklahoma Agricultural and Mechanical Colleges. All rights reserved. Further information about copyright policy can be obtained by contacting the OSU Archives by email at libscua@okstate.edu or by phone at 405-744-6311.",http://rightsstatements.org/vocab/InC/1.0/,JMZ.114,png,/objects/JMZ.114.png,/objects/small/jmz.114_sm.jpg,/objects/thumbs/jmz.114_th.jpg
